0,0,0.493852,0.0189770,1,0.292394,0.0612760,2,0.301174,0.061647
0,3,0.311938,0.061817
0,4,0.310787,0.059930
0,5,0.317103,0.057467
0,6,0.340868,0.0548170,7,0.365170,0.051618
0,8,0.392391,0.048585
0,9,0.420493,0.045984
0,10,0.451099,0.043710
0,11,0.484228,0.041719
0,12,0.529473,0.039625
1,0,0.330920,0.057849
1,1,0.528392,0.017077
1,2,0.320663,0.061592
1,3,0.331650,0.061996
1,4,0.330698,0.060157
1,5,0.337179,0.057687
1,6,0.347498,0.054679
1,7,0.374279,0.051832
1,8,0.401552,0.048787
1,9,0.429668,0.046176
1,10,0.460249,0.043891
1,11,0.493313,0.041889
1,12,0.538553,0.039786
2,0,0.339179,0.058221
2,1,0.357274,0.058292
2,2,0.562565,0.015326
2,3,0.350748,0.061609
2,4,0.350030,0.060150
2,5,0.356617,0.057762
2,6,0.367092,0.054752
2,7,0.380858,0.051705
2,8,0.410554,0.048974
2,9,0.438687,0.046353
2,10,0.469248,0.044058
2,11,0.502252,0.042046
2,12,0.547329,0.039936
3,0,0.349295,0.058396
3,1,0.367587,0.058686
3,2,0.385325,0.058418
3,3,0.596400,0.013698
3,4,0.370128,0.058631
3,5,0.376747,0.056746
3,6,0.387413,0.053725
3,7,0.401367,0.050648
3,8,0.418575,0.047869
3,9,0.449046,0.045525
3,10,0.479590,0.043222
3,11,0.512539,0.041201
3,12,0.557423,0.039085
4,0,0.348375,0.056628
4,1,0.366854,0.056963
4,2,0.384810,0.057047
4,3,0.403482,0.055704
4,4,0.627000,0.011694
4,5,0.396538,0.053379
4,6,0.406966,0.050886
4,7,0.421034,0.047759
4,8,0.438481,0.044878
4,9,0.457135,0.042615
4,10,0.489965,0.040551
4,11,0.522971,0.038523
4,12,0.558703,0.036243
5,0,0.354398,0.054321
5,1,0.373036,0.054648
5,2,0.391089,0.054808
5,3,0.409790,0.053931
5,4,0.428295,0.050846
5,5,0.657254,0.010213
5,6,0.426933,0.047150
5,7,0.440721,0.044515
5,8,0.458298,0.041567
5,9,0.477261,0.039116
5,10,0.499044,0.037226
5,11,0.534173,0.035400
5,12,0.571695,0.033434
6,0,0.376792,0.051848
6,1,0.382826,0.051819
6,2,0.401028,0.051977
6,3,0.419905,0.051091
6,4,0.438185,0.048495
6,5,0.456841,0.045045
6,6,0.687174,0.008913
6,7,0.460683,0.040574
6,8,0.478181,0.038063
6,9,0.497137,0.035530
6,10,0.519305,0.033385
6,11,0.544316,0.031771
6,12,0.583742,0.029969
7,0,0.399730,0.048844
7,1,0.408068,0.049149
7,2,0.414071,0.049097
7,3,0.433127,0.048183
7,4,0.451512,0.045542
7,5,0.469903,0.042549
7,6,0.488563,0.038890
7,7,0.716657,0.007832
7,8,0.498157,0.034320
7,9,0.516394,0.032236
7,10,0.538620,0.029969
7,11,0.564076,0.028086
7,12,0.594497,0.026461
8,0,0.425402,0.045986
8,1,0.433785,0.046281
8,2,0.442041,0.046528
8,3,0.449390,0.045545
8,4,0.468002,0.042810
8,5,0.486512,0.039756
8,6,0.505091,0.036504
8,7,0.523769,0.033013
8,8,0.746603,0.007030
8,9,0.538260,0.028434
8,10,0.559474,0.026868
8,11,0.584943,0.024893
8,12,0.615681,0.023071
9,0,0.452024,0.043514
9,1,0.460418,0.043797
9,2,0.468687,0.044036
9,3,0.478209,0.043318
9,4,0.485742,0.040633
9,5,0.504545,0.037406
9,6,0.523117,0.034080
9,7,0.541120,0.031010
9,8,0.561548,0.027462
9,9,0.771530,0.006330
9,10,0.569062,0.024569
9,11,0.594412,0.022549
9,12,0.625352,0.020562
10,0,0.481018,0.041344
10,1,0.489384,0.041617
10,2,0.497630,0.041845
10,3,0.507135,0.041119
10,4,0.516792,0.038666
10,5,0.525235,0.035576
10,6,0.544170,0.032014
10,7,0.562228,0.028831
10,8,0.581706,0.025938
10,9,0.590709,0.023767
10,10,0.796320,0.005863
10,11,0.604323,0.020471
10,12,0.635088,0.018461
11,0,0.512400,0.039436
11,1,0.520701,0.039697
11,2,0.528888,0.039916
11,3,0.538339,0.039181
11,4,0.548047,0.036721
11,5,0.558463,0.033828
11,6,0.567904,0.030439
11,7,0.586381,0.027007
11,8,0.605871,0.024030
11,9,0.614766,0.021816
11,10,0.624084,0.019840
11,11,0.821173,0.005567
11,12,0.644694,0.017014
12,0,0.555063,0.037453
12,1,0.563351,0.037705
12,2,0.571378,0.037917
12,3,0.580641,0.037176
12,4,0.581789,0.034539
12,5,0.593867,0.031946
12,6,0.605078,0.028720
12,7,0.615097,0.025431
12,8,0.634889,0.022269
12,9,0.643976,0.019901
12,10,0.653137,0.017903
12,11,0.662196,0.016500
12,12,0.849319,0.005436
